"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"幽影刃","XGE","164","2环","1 附赠动作","Concentration, up to 1 minute","幻术","自身","声音, 姿势","术士, 术士, 法师, 法师, 邪术师, 邪术师","","你将幽影交织成手中实化的剑。该魔法剑持续到法术结束。它被视为你具有熟练项的简易近战武器，命中时造成2d8心灵伤害，并具有灵巧、轻型和投掷特性（射程 20/60)。当你用该剑攻击微亮光照或黑暗中的目标时，你进行的攻击检定具有优势。如果你放下或投掷出了此武器，它将在该回合结束时消散。其后，如法术持续，你能以一个附赠动作使该剑重现于你手中。"," 升环施法效应. 当你使用3级或4级法术位施展这个法术时，伤害增加至3d8。当你使用5级或6级法术位施展它时，伤害增加至4d8。当你使用7级或更高级别的法术位施展它时，伤害增加至5d8。"
"庇护术","PHB'14","272","1环","1 附赠动作","1 minute","防护","30 尺","声音, 姿势, 材料 (一面小银镜)","奇械师, 牧师","","你的法术保护一个施法距离内的生物不受攻击。在法术终止前，任何试图对受保护者进行攻击或对受保护者施放伤害性法术的生物都必须进行一次感知豁免。豁免失败则该生物必须选定一个新目标，否则将失去本次的攻击或法术。该法术不能保护受术者免受范围效应（如火球术）的影响。若受保护生物发动一次攻击，施展一道影响敌人的法术，或是对任何其他生物造成伤害，则该法术随之终止。",""
"庇护术","PHB'24","313","1环","1 附赠动作","1 minute","防护","30 尺","声音, 姿势, 材料 (镜子的一块碎片)","奇械师, 牧师","","你在范围内的生物周围设下防护。直到法术结束，任何用攻击检定或伤害法术瞄准被保护生物的生物必须进行一次智慧豁免，否则必须选择新目标或失去攻击或法术。此法术不能保护被保护生物免受区域效果影响。如果受保护的生物进行攻击检定、施法或造成伤害，法术就会结束。",""
"延迟爆裂火球","PHB'14","230","7环","1 动作","Concentration, up to 1 minute","塑能","150 尺","声音, 姿势, 材料 (一小球蝙蝠粪及硫磺)","术士, 法师","","一束黄光从你的指尖射向施法距离内你指定的一点，并在法术持续时间内在该点凝结成一颗赤红的珠子。当因专注被打断或自主决定导致法术终止时，珠子将伴着低吼炸裂成四窜的烈焰并绕过拐角扩散。此时，目标点周边半径 20 尺内的每个生物都必须进行一次敏捷豁免。豁免失败者将承受全部累积的火焰伤害，豁免成功则伤害减半。该法术的基础伤害为 12d6。如果在回合结束时珠子还没有引爆，伤害增加 1d6。如果珠子爆炸前被生物触碰到，则该生物必须进行一次敏捷豁免。豁免失败则法术立即终止并触发爆炸效应。豁免成功则该生物可将珠子抛开至多 40 尺。当珠子被生物或固态物件撞击时，法术立即终止并且触发爆炸效应。火焰伤害区域内没被着装携带的易燃物品将被烈焰点燃。"," 升环施法效应. 使用八环或更高法术位施展该法术时，你使用的法术位每比七环高一环，基础伤害就提高1d6。"
"延迟爆裂火球","PHB'24","261","7环","1 动作","Concentration, up to 1 minute","塑能","150 尺","声音, 姿势, 材料 (一球蝙蝠粪便和硫磺)","术士, 法师","","一道黄光从你身上闪现，然后在射程内的选定点凝聚成一颗发光的珠子，持续施法时间。当法术结束时，珠子爆炸，以该点为中心的20英尺半径范围内的每个生物进行一次敏捷豁免。生物在豁免失败时受到等于累积伤害的火焰伤害，豁免成功则受到一半的伤害。该法术的基础伤害为 12d6，每当你的回合结束且法术尚未结束时，伤害增加 1d6。如果一个生物在法术结束前触摸到发光的珠子，那个生物需要进行一次敏捷豁免检定。如果豁免失败，法术结束，导致珠子爆炸。如果豁免成功，生物可以将珠子投掷至多40英尺。如果投掷的珠子进入另一个生物的空间或与固体物体碰撞，法术结束，珠子爆炸。当珠子爆炸时，爆炸范围内的易燃物品（如果它们没有被穿戴或携带）开始焚烧。"," 升环施法效应. 基础伤害随着每个高于7级的法术位增加1d6。"
"异怪召唤术","TCE","109","4环","1 动作","Concentration, up to 1 hour","咒法","90 尺","声音, 姿势, 材料 (一条腌制触手和一颗装在白金瓶中的眼球，至少价值 400gp)","","法师, 邪术师","你唤来一个异怪灵魄。其在施法距离内你可见的一个未占据位置化为实体。这一实体使用异怪灵魄的数据。当你施展法术时，从类眼魔，史拉蟾或星之子中选择一个。此生物的外形与你所选一致，其资料表中的部分特性也受此影响。当其生命值降到0或法术结束时，生物消失。该生物对你和你的同伴友善。在战斗中，该生物与你共享先攻，它在你的回合结束后行动。它听从你的口头命令（无需动作）。如果你不发出指令，该生物执行回避动作，并用自己的移动力来回避危险。"," 升环施法效应. 使用五环或更高法术位施展该法术时，该生物数据中使用更高的法术环数。"
"异怪召唤术","PHB'24","322","4环","1 动作","Concentration, up to 1 hour","咒法","90 尺","声音, 姿势, 材料 (一个装有触手和眼球的镶铂瓶，价值400+金币)","法师, 邪术师","","你召唤出一个异怪精魂。它显现在你视野范围内一处未被占据的空间，并使用异怪灵魄的数据模块。当你施法时，选择眼魔衍体、夺心魔或史拉蟾。该生物类似于那种异怪，这决定了其数据模块中的某些细节。当该生物的生命值降为0生命值或法术结束时，它会消失。这个生物成为你和你的盟友的盟友。在战斗中，它共享你的先攻计数，但它会在你之后立即行动。它服从你的口头命令（你无需动作）。如果你没有发出任何命令，它会采取回避动作，并使用它的移动来避开危险。"," 升环施法效应. 在统计数据块中使用法术位的等级作为法术的等级。"
"异界之门","PHB'14","244","9环","1 动作","Concentration, up to 1 minute","咒法","60 尺","声音, 姿势, 材料 (一枚价值至少 5000gp 的钻石)","术士, 法师, 牧师","邪术师","你召唤一扇传送门将施法距离内你能看到的一处未被占据空间与一个不同位面的特定地点连接在一起。传送门是你打开的一个直径 5 到 20 尺的圆形开口。其开口朝向你指定的任意方向，并持续至法术终止。传送门在某个位面显现时有着明确的正反面。只有从正面穿过传送门的事物才能实现其传送功能，从而传送至另一位面，并在离传送门最近的未占据空间中显现。神和其他位面统治者可以阻止该法术在其所在或属于其领域的任何地点创造传送门。施展该法术时，你可以说出某个特定生物的名字（不能是假名、头衔、绰号等）。如果该生物在与你不同的位面，则传送门会紧挨被指名生物打开并将该生物吸进传送门。此时该生物会从你所在的传送门另一头出现，并显现在距传送门最近的未被占据空间。你不会获得任何被传送生物的特殊能力，而它此时可以自由的作任何 DM 认为合适的行动。它可能离开，也可以攻击你或协助你。",""
"异界之门","PHB'24","277","9环","1 动作","Concentration, up to 1 minute","咒法","60 尺","声音, 姿势, 材料 (一颗价值5000+金币的钻石)","术士, 法师, 牧师, 邪术师","","你召唤一个传送门，连接你能看到的范围内的一个未被占据的空间与存在平面上的一个精确位置。这个传送门是一个圆形开口，你可以使其直径为5到20英尺。你可以选择传送门的朝向。传送门在整个持续期间都存在，通过它可以看到传送门的目的地。传送门在某个位面显现时有着明确的正反面。只有从正面穿过传送门的事物才能实现其传送功能，从而传送至另一位面，并在离传送门最近的未占据空间中显现。神和其他位面统治者可以阻止该法术在其所在或属于其领域的任何地点创造传送门。当你施放这个法术时，你可以说出一个特定生物的名字（别名、头衔或昵称无效）。如果那个生物位于与你不同的位面，传送门将在被命名生物旁边打开，并将它传送到传送门你这一边最近的未被占据的空间。你没有对生物获得任何特殊控制权，它将自由地按照DM认为合适的方式行动。它可能会离开、攻击你或帮助你。",""
"异界传送","PHB'14","266","7环","1 动作","Instantaneous","咒法","触及","声音, 姿势, 材料 (一根价值至少250gp，分叉的金属棒，调谐于一个特定的存在位面)","德鲁伊, 术士, 法师, 牧师, 邪术师","","你和至多八个自愿生物手拉手站成一圈，然后被传送到一个不同的存在位面中。你可以概括地指名一个目的地（比如火元素位面的黄铜城，或者九层地狱第二层迪斯帕特的宫殿），然后你将出现在目的地里或其附近。假设你想到达黄铜城，按照 DM 的判断，你可能会传送到达它的钢铁大道上，或它的灰烬之门前，又或者与城市隔着火焰之海相望之处。另外，如果你知道某个处于另一位面的传送法阵的印记序列，则该法术可以把你带到该法阵处。如果该传送法阵太小而装不下所有你传送的生物，则他们会出现在离传送法阵最近的未占据空间里。你可以用该法术放逐一个非自愿的生物到另一位面。指定一个你触及范围内的生物并对它进行一次近战法术攻击。命中时，此生物必须进行一次魅力豁免。豁免失败者将被传送到你指定位面的一个随机地点。被这样传送走的生物必须自行寻找回到你现在位面的路。",""
"异界传送","PHB'24","305","7环","1 动作","Instantaneous","咒法","触及","声音, 姿势, 材料 (一个分叉的金属棒，价值250+金币，且与一个存在位面调谐)","德鲁伊, 术士, 法师, 牧师, 邪术师","","你和多达八个自愿者手拉手围成一圈被传送到一个不同的存在平面。你可以用一般术语指定目标目的地，比如火元素平面的黄铜城或者九层地狱第二层的迪斯帕特宫殿，你出现在那个目的地或其附近，由DM决定。另外，如果你知道某个处于另一位面的传送法阵的印记序列，则该法术可以把你带到该法阵处。如果该传送法阵太小而装不下所有你传送的生物，则他们会出现在离传送法阵最近的未占据空间里。",""
"异界探知","PHB'14","226","5环","1 分钟","1 minute","预言 (ritual)","自身","声音","法师, 邪术师","","你与一位半神、一位早已逝去的贤者的灵魂，或是来自另一个平面的其他某种神秘实体进行精神上的联系。与这种超平面智能的联系可能会使你的精神受到压力甚至崩溃。当你施展这个法术时，进行一次DC 15智力豁免检定。如果检定失败，你将承受6d6心灵伤害，并直到完成一次长休息后才会恢复正常。在精神错乱期间，你无法采取行动，无法理解其他生物的话语，无法阅读，只能说胡话。对你施放高等复原术法术可以解除这个效果。豁免成功时，你可以询问该实体五个问题。你必须在法术结束前提出你的问题。而你所提出的每条问题 DM 都可以用一个单词作回答，比如""是""""不是""""可能""""不可能""""没关系""或是""不清楚""（如果该实体不知道该问题答案时）。如果一个单词的答案可能导致误导，DM 可能会用一句短语来作为问题的答案。",""
"异界探知","PHB'24","255","5环","1 分钟","1 minute","预言 (ritual)","自身","声音","法师, 邪术师","","你精神上联系一位半神、一位早已逝去的贤者的灵魂，或者来自另一个位面的某种知识渊博的实体。与这种超自然的智能体接触可能会让你精神错乱。当你施放此法术时，进行一次DC 15智力豁免检定。成功通过豁免检定后，你可以向该实体提出最多五个问题。你必须在法术结束前提出你的问题。DM用一个词回答每个问题，如""是""、""否""、""可能""、""从不""、""不相关""或""不清楚""（如果实体不知道问题的答案）。如果一个词的答案会引起误解，DM可能会提供一个短句作为答案。如果豁免失败，你会受到6d6心灵伤害，并在完成一次长休之前一直处于失能状态。对你施放的高等复原术法术可以结束这个效果。",""
"异界誓盟","PHB'14","265","6环","10 分钟","Instantaneous","咒法","60 尺","声音, 姿势","牧师","","你祈求一个异界个体的援助。你必须对该存在个体有所了解，它可以是一个神，一位原祖，一名恶魔主君，或是其他界域级力量的存在。该存在将派遣一个效忠它的天界生物，元素生物或邪魔来援助你，并使该个生物显现在施法距离内一个未占据空间。如果你知道他们中某个特定生物的名字，则你可以在施展法术时说出其名字来请求指派该生物来援，但是你仍然有可能得到一个不同的生物（由 DM 选择）。该生物出现时，你无法强迫它作任何事。你可以以报酬为交换请求其提供服务，只是它并没任何义务为你实现。请求的任务可以简单（帮我们飞越峡谷，或在一场战斗中提供协助），也可以复杂（暗中监视我们的敌人，或在我们扫荡地城时保护我们）。你必须能与该生物交流以为他服务的报酬讨价还价。报酬的形式也可以各式各样。一个天界生物可能会要求为一座同盟的神殿捐献一份相当可观的金币或魔法物品，而一只邪魔可能会索要一次活祭或一份财宝作为礼物。一些生物可能会要求你进行一个任务来换取它们的服务。粗略计算，一个可以按分钟计算的任务需要每分钟 100gp 的报酬。一个可以按小时计算的任务需要每小时 1000gp 的报酬。一个可以按日计算的任务（至多 10 日）需要每日 10000gp 的报酬。DM 可以按你施放该法术的环境调整具体的报酬。如果任务与生物的行为准则一致，则报酬可能会被减半甚至放弃。没有风险的任务一般只需要建议报酬的一半，而特别危险的任务可能会需要更大的赠礼。生物极少接受看上去像自杀的任务。生物完成任务后，或当协议服务时间结束后，如果任务合适并在可能的情况下，生物会在回来向你报告后再返回自己的家乡位面。如果你不能同意生物的服务价格，则其将立即返回其家乡位面。应召加入你队伍的生物算作队伍成员，并正常分享获得的经验值。",""
"异界誓盟","PHB'24","304","6环","10 分钟","Instantaneous","咒法","60 尺","声音, 姿势","牧师","","你请求一个异界实体的帮助。这个实体必须是你所知道的：一个神、一个恶魔王子，或某个其他宇宙力量的存在。那个实体发送一个忠诚于它的天界语、元素生物，或一个邪魔来帮助你，使这个生物出现在射程内的未被占据的空间中。如果你知道一个特定生物的名字，你可以在施放这个法术时说出那个名字来请求那个生物，尽管你可能会得到一个不同的生物（由DM决定）。当生物出现时，它没有必须以特定方式行事的义务。你可以请求它为了报酬而执行一项服务，但它没有义务这样做。请求的任务可以从简单（飞越鸿沟，或帮助我们战斗）到复杂（监视我们的敌人，或在我们进入地下城时保护我们）。你必须能够与生物沟通，以商定它的服务。报酬的形式也可以各式各样。一个天界生物可能会要求为一座同盟的神殿捐献一份相当可观的金币或魔法物品，而一只邪魔可能会索要一次活祭或一份财宝作为礼物。一些生物可能会要求你进行一个任务来换取它们的服务。可以用分钟衡量的任务需要支付价值每小时100 GP的费用。用小时衡量的任务需要每小时1,000 GP。用天（最多10天）衡量的任务每天需要10,000 GP。DM可以根据你施法时的情况调整这些支付。如果任务与生物的道德观一致，支付可能会减半甚至免除。非危险任务通常只需要建议支付的一半，而特别危险的任务可能需要更多的礼物。生物很少接受看起来是自杀的任务。生物完成任务，或者约定的服务期限到期后，如果可能的话，生物在向你汇报后返回其家乡平面。如果你无法就生物的服务价格达成一致，生物会立即返回其家乡平面。",""
"异界誓缚","PHB'14","265","5环","1 小时","24 hours","防护","60 尺","声音, 姿势, 材料 (一枚价值至少 1000gp 的宝石，作为该法术的耗材)","吟游诗人, 德鲁伊, 法师, 牧师","邪术师","你尝试以该法术与一个生物建立誓约使其为你服务，该生物可以是 天界生物、元素生物、精类、邪魔等生物种类之一。该生物在整个施法过程中必须在法术的施法距离内。典型的情况下，在施展该法术前，生物会先被召唤到一个反向作用的 防护法阵中困住。施法完成后，目标必须进行一次魅力豁免。豁免失败则目标在法术持续时间内与你建立誓约并服务于你。如果该生物由其他法术所召唤或创造，则维持其存在的法术持续时间被延长至符合本法术的持续时间。一个已建立誓约的生物必须尽其最大的能力遵从你的指示。你可以命令该生物在你冒险时陪伴你，或守卫一个地点，又或者传递一个信息。该生物将遵从你所下达指示的字面意义，但是如果此生物与你敌对，则它会努力曲解你的字面意思来达到它自己的目标。如果生物在法术终止前全部完成了你的指示而你们仍处于同一位面时，则它会到你面前向你汇报。如果你们处与不同位面，则它会回到其建立誓约之地，并呆停留该处直至法术终止。"," 升环施法效应. 使用六环法术位施展该法术时，法术持续时间增为 10 日，七环则增为 30 日，八环为 180 日，九环为一年零一日。"
"异界誓缚","PHB'24","305","5环","1 小时","24 hours","防护","60 尺","声音, 姿势, 材料 (一颗价值1000+金币的宝石，法术会消耗它)","吟游诗人, 德鲁伊, 法师, 牧师, 邪术师","","你试图将一个天界生物、元素生物、仙子或恶魔绑定为你服务。在整个施法过程中，目标生物必须在施法范围内。（通常，目标生物首先被召唤到倒置的防护法阵法术的中心，以在施放这个法术时困住它。）在施法完成时，目标必须成功通过一次魅力豁免检定，否则将被绑定为你服务，直到持续时间结束。如果该生物是通过另一个法术召唤或创造的，那么那个法术的持续时间将延长以匹配这个法术的持续时间。被束缚的生物必须尽其所能遵循你的命令。你可以命令生物陪伴你进行冒险，守卫某个地点，或者传递信息。如果生物是敌对的，它会努力扭曲你的命令以实现自己的目标。如果生物在法术结束前完全执行了你的命令，它会回到你身边报告这一事实，如果你在同一个存在平面上。如果你在不同的平面上，它会返回到你束缚它的地方，并在那里停留直到法术结束。"," 升环施法效应. 使用6级法术位时（10天）、7级法术位时（30天）、8级法术位时（180天）和9级法术位时（366天），持续时间会增加。"
"弱智术","PHB'14","239","8环","1 动作","Instantaneous","惑控","150 尺","声音, 姿势, 材料 (一把粘土，水晶，玻璃或矿物球)","吟游诗人, 德鲁伊, 法师, 邪术师","","指定施法距离内一个你能看见的生物，并尝试摧毁其理智与人格。目标受4d6点心灵伤害且须进行一次智力豁免。豁免失败时，该生物的智力和魅力变为 1。受术生物将不能施法，也不能启动魔法物品，甚至不能听懂语言或以智慧方式沟通。但该生物仍可以辨识、跟随伙伴，甚至保护他们。受术生物每过 30 日即可在当日结束时重新进行一次豁免，豁免成功则该法术效应终止。除此之外，高等复原术，医疗术或者祈愿术也可直接终止该法术的效应。",""
"弹射术","XGE","150","1环","1 动作","Instantaneous","变化","60 尺","姿势","奇械师, 术士, 术士, 法师, 法师","","选择施法距离之内，一个未被穿戴或携带的、重 1~5 磅的物件。该物件将向着你选择的一个方向，以直线轨迹飞出。弹射物在落到地面前至多可以飞行 90 尺距离，若其在此过程中弹射物撞击到了固体表面则会提前停止运动。若弹射物即将撞上一个生物，该生物必须进行一次敏捷豁免尝试避开它。若豁免失败，弹射物将击中该生物并停止运动。不论弹射物击中了什么东西，弹射物和被弹射物击中的东西都将各受到3d8点钝击伤害。"," 升环施法效应. 当你使用二环或更高的法术位施放该法术时，使用的法术位每高一环，你可以选择的物体重量上限便增加 5 磅，造成的伤害提高1d8。"
"强令对决","PHB'14","224","1环","1 附赠动作","Concentration, up to 1 minute","惑控","30 尺","声音","圣武士","","你尝试强令一个生物与你决斗。指定施法距离内一个你能看见的生物作为法术的目标。该生物必须进行一次感知豁免，豁免失败则该生物将被你的神圣要求所吸引。在法术持续时间内，该生物对除你之外任何生物发动攻击检定时都具有劣势，并且每当其试图移动至与你相距超过 30 尺的距离时，都必须进行一次感知豁免。豁免成功，则该目标本回合内进行的移动将暂时不受该魔法限制。当你攻击另一个生物时，或者当你对另一个敌对生物施展法术时，又或者当一个你的友方生物对该目标造成伤害或者对其施展伤害性法术时，又或者你在距离该目标超过 30 尺的位置结束你的回合时，该法术终止。",""
"强令对决","PHB'24","252","1环","1 附赠动作","Concentration, up to 1 minute","惑控","30 尺","声音","圣武士","","你试图迫使一个生物与你决斗。射程内你能看到的一个生物必须进行一次智慧豁免检定。如果豁免失败，目标在对除了你之外的其他生物进行攻击检定时具有劣势，并且它不能自愿移动到距离你超过30英尺的地方。如果你对非目标生物进行攻击检定、对目标以外的敌人施放法术、你的盟友对目标造成伤害，或者你的回合结束时与目标的距离超过30英尺，则法术结束。",""
"强化属性","PHB'14","237","2环","1 动作","Concentration, up to 1 hour","变化","触及","声音, 姿势, 材料 (野兽的毛皮或羽毛)","吟游诗人, 奇械师, 德鲁伊, 术士, 牧师","法师, 游侠","你触碰一个生物，并为其附上魔力强化。选择下列效应之一生效，而目标将在法术终止前维持该法术效应。 熊之坚韧. 目标进行体质检定时具有优势。目标同时获得 2d6 的临时生命值，并维持至法术终止。 牛之力量. 目标进行力量检定时具有优势，且其负重翻倍。 猫之优雅. 目标进行敏捷检定时具有优势。另外，目标在非失能状态下不会因 20 尺以内的坠落而伤害。 鹰之威仪. 目标进行魅力检定时具优势。 狐之狡黠. 目标进行智力检定时具有优势。 枭之睿智. 目标进行感知检定时具有优势。"," 升环施法效应. 使用三环或更高法术位施展该法术时，你使用的法术位每比二环高一环，就可以多指定一个目标。"
"强化属性","PHB'24","268","2环","1 动作","Concentration, up to 1 hour","变化","触及","声音, 姿势, 材料 (毛皮或羽毛)","吟游诗人, 奇械师, 德鲁伊, 术士, 法师, 游侠, 牧师","","你触摸一个生物并选择力量、敏捷、智力、智慧或魅力。在持续时间内，目标在使用所选能力的属性检定时具有优势。"," 升环施法效应. 对于每个高于2级的法术位，你可以额外选择一个目标生物。你可以选择为每个目标选择不同的能力。"
"强能咒语：加强","PHB'24","306","7环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人, 牧师","","你加强射程内你能看到的多达六个生物。这个法术赋予120点临时生命值，你可以在法术的接受者之间分配。",""
"强迫术","PHB'14","224","4环","1 动作","Concentration, up to 1 minute","惑控","30 尺","声音, 姿势","吟游诗人","","指定施法距离内你能看到，且能听到你声音的若干生物并迫使其分别进行一次感知豁免。其中无法被魅惑的目标将直接豁免成功，而豁免失败者将受到该法术效应的影响。直至该法术终止前，你可以在你每个回合中用一个附赠动作指向某个水平方向。随后，每个受术目标在其下一回合里必须使用其所有的移动力尽可能的向该方向移动。目标可以在移动前执行其动作，而完成这些移动行为后它可以再进行一次感知豁免以终止该效应。每个目标不会被强令走向明显致命的危害物中，比如火堆或陷坑里，不过目标在向指定方向移动时同样可以引起借机攻击。",""
"强迫术","PHB'24","252","4环","1 动作","Concentration, up to 1 minute","惑控","30 尺","声音, 姿势","吟游诗人","","射程内你能看到的每个你选择的生物必须进行一次智力豁免，否则在法术结束前都会受到魅惑状态。在法术持续时间内，你可以采取附赠动作来指定一个与你水平的方向。每个处于魅惑状态的目标必须在下一个回合尽可能多地朝那个方向移动，选择最安全的路线。以这种方式移动后，目标再次进行豁免检定，成功则结束自身上的法术效果。",""
"形体变化","PHB'14","274","9环","1 动作","Concentration, up to 1 hour","变化","自身","声音, 姿势, 材料 (至少价值 1500gp 的玉环，施法时将环戴在头上)","德鲁伊, 法师","","你在法术持续时间内变形为另一个生物。你的新形态可以是任何挑战等级小于等于你等级的生物。该类生物不能是构装生物或不死生物，而且你必须见过该类生物至少一次。你变形成该类生物中一个普通的个体，没有任何职业等级，也不具有施法特性。你的游戏资料以目标生物的数据代替，但你的阵营，以及智力、感知和魅力值不变。你同样保留你的所有技能和豁免的熟练项，并且还能获得目标生物的技能和豁免的熟练项。如果目标生物和你都具有某熟练项，且目标生物在这该项的熟练加值比你高，则你在该项检定时使用较高的熟练加值而非自己的原加值。你不能使用新形态的传奇动作和巢穴动作。你的生命值和生命骰变成和新形态一样。当你变回原形时，你的生命值恢复变形前的状态。如果你因为生命值降至 0 以下而变回原形，则你的正常形态将承受所有溢出的伤害。只要该伤害不足以把你在正常形态下的生命值也降至 0，你就不会因此陷入昏迷。你依然可以获得你的职业特性、种族特质和其他特性带来的增益，前提是你的新形态在物理上必须能够做到这些事。你不能使用任何之前享有的特殊感官（例如黑暗视觉），除非你的新形态也有这种感官。如果你变形成的生物通常不能说话，那么你也不能说话。变形时，你可以选择你的装备掉到地上、融入新的形态中还是继续着装。继续着装的装备依然拥有正常情况下的功能。DM 要根据新形态的外形和大小来判断你在新形态下是否能够继续着装你身上的每件装备。你的装备不会改变形状和尺寸以适应你的新形态，而新形态下不能着装的装备只能掉到地上或融入新的形态中。融入新形态的装备将不会产生任何效应。在法术持续时间内，你可以用你的动作转换为另一形态。重新变形的规则与限制与第一次变形相同，只有一点不同：如果新形态的生命值比你当前的形态要多，那么你的生命值将保持为当前值不变。",""
"形体变化","PHB'24","315","9环","1 动作","Concentration, up to 1 hour","变化","自身","声音, 姿势, 材料 (一个价值1500+金币的玉制头饰)","德鲁伊, 法师","","在持续时间内或直到你采取一个魔法动作变形为另一个符合条件的形态之前，你会变形为另一个生物。新形态必须是一个挑战等级不高于你等级或挑战等级的生物。你必须曾经见过这种类型的生物，且它不能是一个构装体或不死生物。当你变形时，你会获得与形态生命值相等的临时生命值。如果你没有剩余的临时生命值，法术会提前结束。你的角色统计数据被选定形态的统计数据块替换，但你保留你的生物类型；阵营；个性；智力、智慧和魅力得分；生命值；生命值骰；熟练度；以及交流能力。如果你拥有施法特性，你也会保留它。在变形时，你决定你的装备是掉落到地面上，还是随着你的新形态改变大小和形状以适应它。",""
"律令医疗","PHB'14","266","9环","1 动作","Instantaneous","塑能","触及","声音, 姿势","吟游诗人","牧师","一波治疗能量覆盖你所触碰的生物，并使目标恢复其所有的生命值。如果该生物正处于魅惑、 恐慌、麻痹、震慑状态，此类状态将立刻终止。如果该生物正处于倒地状态，则他可以执行其反应站起。该法术无法对不死生物和构装生物生效。",""
"律令医疗","PHB'24","306","9环","1 动作","Instantaneous","惑控","60 尺","声音, 姿势","吟游诗人, 牧师","","一波治疗能量冲刷过射程内一个你能看到的生物。目标恢复其所有的生命值。如果生物具有魅惑、恐慌、麻痹、中毒或震慑状态，该状态结束。如果生物具有倒地状态，它可以利用其反应来站起来。",""
"律令死亡","PHB'14","266","9环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你读出一威力满溢的单词，其足以使施法距离内一个你能看见的生物立即死亡。如果你所指定的生物现有生命值不超过 100 点，则其立即死亡。否则该法术不产生任何效应。",""
"律令死亡","PHB'24","306","9环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你强迫射程内一个你能看到的生物死亡。如果目标有100点生命值或更少，它将死亡。否则，它将受到12d12心灵伤害。",""
"律令痛苦","XGE","163","7环","1 动作","Instantaneous","惑控","60 尺","声音","术士, 术士, 法师, 法师, 邪术师, 邪术师","","你说出饱含力量的真言，引发距离内一个你可见生物的剧痛波浪。如果目标的生命值为 100 点或更少，它将遭受强烈的痛苦。否则，法术将对它没有作用。免疫魅惑的生物同样不受这个法术影响。如果目标承受了这种痛苦，他所拥有的任何速度都不能超过 10 尺。目标在攻击检定、属性检定和除了体质豁免以外的豁免检定中承受劣势。最后，如果目标试图施法，它必须先成功进行体质豁免检定，否则它将施法失败，法术会被浪费。承受了这种痛苦的目标在它的每个回合结束都可以进行一次体质豁免检定。如果豁免成功，痛苦将结束。",""
"律令震慑","PHB'14","267","8环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你说出一蕴含威力的单词，其足以使施法距离内一个你能看见的生物意志受压迫而震惊。如果你所指定的生物现有生命值为 150 或更少，则其被震慑。否则该法术不产生任何效应。被震慑目标必须在其每回合结束时进行一次体质豁免。豁免成功，则此震慑效果终止。",""
"律令震慑","PHB'24","306","8环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你淹没了射程内一个你能看到的生物的心智。如果目标有150点生命值或更少，它将获得震慑状态。否则，直到你的下一个回合开始，它的速度变为0。震慑的目标在其每个回合结束时进行一次体质豁免检定，如果成功，将结束自身的该条件。",""
"御风而行","PHB'14","288","6环","1 分钟","8 hours","变化","30 尺","声音, 姿势, 材料 (火焰和圣水)","德鲁伊","","你和施法距离内你能看见的至多十个自愿生物在法术持续时间内变为气化形态，其外观有如一团云雾。处于该云雾形态的生物具有 300 尺的飞行速度，并且对非魔法武器造成的伤害具有抗性。该形态下的生物除疾走和变回原形以外不能执行其他动作。变回原形需要花一分钟的时间，在这段时间内该生物处于 失能状态且不能移动。在法术终止前，该生物还可以再次变成云雾形态，而再次进行变形同样要花一分钟时间。如果法术终止时受术生物正以云雾形态飞行，则该生物将在 1 分钟内以每轮 60 尺的速度降落直至安全着陆。如果该生物降落 1 分钟后还没着陆，则在余下的距离中它将会如正常情况一样坠落。",""
"御风而行","PHB'24","341","6环","1 分钟","8 hours","变化","30 尺","声音, 姿势, 材料 (一支蜡烛)","德鲁伊","","你和你选择的范围内多达十个愿意的生物在持续时间内变为气态形态，看起来像云的细丝。在这种云形态中，目标具有飞行速度300英尺，并且可以悬停；它对倒地状态具有免疫；并且它对钝击、穿刺和斩击伤害具有提升抗性。目标在这种形态下唯一可以采取的动作是疾走动作或开始变回正常形态的魔法动作。变回需要1分钟，在此期间目标处于震慑状态。直到法术结束，目标可以变回云形态，这也需要一个魔法动作，然后是1分钟的变形。如果目标在效果结束时处于云雾形态且正在飞行，目标每轮下降60英尺，持续1分钟，直到安全着陆。如果1分钟后无法着陆，它将落下剩余的距离。",""
